,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle
f1150300-65e4-4a11-996b-3056320d9d9c.jpeg,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,4,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,1
9ade6d8e-2aef-408f-ac1a-6746c67832c1.jpeg,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,0,6,11,0,5,0,0,0,0,5,0,0,1,0,0,0,0,0,1
76ec70c2-a9a2-4eb6-a159-fad1bb4a0fbc.jpeg,0,0,1,1,0,0,1,0,2,0,0,0,0,1,0,1,0,1,0,7,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,9,0,4,7,0,0,0,0,0,2,6,0,0,0,0,0,1,0,0,1
c114080b-1fbe-49a7-94f3-c550038bcef0.jpeg,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,1,0,0,2
67a8088a-4739-4492-91b5-a18fd0d1ab35.jpeg,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,4,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,1
cc8b2b9a-094f-4e13-b917-64dc8d7098c4.jpeg,0,0,1,1,0,0,0,0,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,6,0,8,8,0,9,3,0,0,0,5,0,0,0,0,0,0,0,0,1
e35b23cd-9fa0-4b4b-b6c8-5e4ab0af84cd.jpeg,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,6,2,0,1,0,0,0,2,6,0,0,0,0,0,1,0,0,1
f3c530e0-36b0-4c5f-b6b4-d042af13d229.jpeg,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,2,0,3,14,0,0,0,0,7,0,0,0,0,0,0,0,0,1
13b0349b-769f-4483-b858-729a843e3ba1.jpeg,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,2,0,0,2
5b42e185-cd2c-4f18-a566-f0c22c828c9b.jpeg,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,4,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,5,2,0,0,0,0,1,2,0,0,0,0,2,2,0,0,1
acc3f244-353f-46e5-a050-0b0132b1c522.jpeg,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,0,7,2,0,7,0,1,0,1,5,0,0,0,0,0,3,0,0,1
d1b04d04-e422-4fdc-b65c-1c38da0fb2d5.jpeg,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,5,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,12,0,3,7,0,5,0,1,0,1,0,0,0,1,0,0,0,0,0,1
38af93f7-29a1-4937-b673-7a71e6ba8fa5.jpeg,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,4,0,0,0,1,0,1,0,0,5,12,0,2,8,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1
75d227bb-cb90-4c87-957f-bf20fbe67545.jpeg,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,2,7,0,1,0,0,0,0,0,0,1
6a893e9f-32e3-4485-a192-6b4745a61ea4.jpeg,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,12,0,2,0,0,4,0,0,0,0,3,0,0,1,0,0,0,0,0,1
dcc8bd1a-62be-406e-92d0-dd8c15f83395.jpeg,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,9,0,2,0,0,5,0,2,0,0,10,0,0,0,0,0,0,0,0,1
1f6fabed-d69c-42f9-ba60-f0306425306b.jpeg,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,10,0,3,0,2,4,0,0,0,0,13,0,2,0,0,0,1,0,0,1
bdd1b904-2849-4d45-abbd-07628e43c75b.jpeg,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,2,0,0,2,0,0,0,1,5,0,0,0,0,0,0,0,0,1
b2b67eac-a9d3-41e5-bafb-6821c29394b2.jpeg,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8,0,4,8,1,1,0,1,0,1,2,0,0,0,2,0,2,0,0,1
d5c3b70f-4ae5-4098-a929-416382c9879f.jpeg,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,1
b82ec2e7-5eea-4318-96d2-1759cc295e36.jpeg,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,8,0,0,0,2,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,1,7,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,2
ac12f614-3e7d-4e67-a7d5-cff9cb157889.jpeg,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,7,0,14,2,1,4,0,0,0,0,11,0,0,0,0,0,0,0,0,1
ba2d6687-df03-457e-b600-a03b2ebf357e.jpeg,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,6,0,3,0,0,4,0,0,0,2,14,0,0,0,0,0,0,0,0,1
d5a07f39-b0dd-4a6d-a901-ae9350f9df9a.jpeg,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,5,7,0,4,2,1,1,0,0,0,1,7,0,0,0,0,0,0,0,0,2
a542b982-7d02-4969-a13b-26cebdcce482.jpeg,0,0,1,0,0,0,1,0,3,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,14,0,1,12,2,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1
