,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle,Total
0ad80caa-3287-46a1-9b71-c61366233421.jpeg,0,0,0,0,0,30012,30342,0,0,0,0,0,0,321900,0,0,17568,5826,0,0,0,0,0,0,7860,0,0,978234,0,8916,725694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2256,0,0,2700,0,0,0,0,211968,0,0,0,0,0,5448,0,0,0,2348724
b6e7982e-04b7-4e0d-8348-9f7a52bb9f8d.jpeg,0,0,0,4776,39000,0,16650,0,0,0,0,0,0,348630,23436,0,0,15840,0,0,0,0,0,0,13362,0,0,1131342,0,35652,550272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1686,0,0,0,0,2364,0,0,0,0,129216,0,0,0,0,0,20904,0,0,0,2333130
efadc9fa-6597-4b2a-a545-897f0d8354cd.jpeg,0,0,0,414,39290,17298,4969,0,0,0,0,0,0,201530,11604,0,3131,2039,0,0,0,0,0,0,7510,0,0,944351,0,19697,433811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2175,0,59,0,0,107,0,0,0,0,10269,0,0,0,0,0,0,0,0,2666,1700920
b1b2af21-8f01-4ff9-b5e6-c779f4c56ec4.jpeg,0,0,0,501,0,30624,23771,0,0,0,0,0,0,173361,1197,0,2682,7400,0,0,0,0,0,0,7388,0,0,829997,0,4200,549046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315,0,0,0,1114,0,0,0,0,0,31379,0,0,0,0,0,0,0,0,12076,1676051
7fb4c640-96e2-4433-b897-9efb36721cb8.jpeg,0,0,0,0,0,120581,55073,0,0,0,0,0,0,108694,7072,0,0,0,0,0,0,0,0,0,4267,0,0,794699,0,9019,579035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2586,0,0,1042,0,0,0,0,15862,0,0,0,0,0,1637,0,0,2234,1701801
7116474a-47ed-4f7e-965b-571f48662a40.jpeg,0,0,0,0,0,95148,15146,0,0,0,0,0,0,171474,0,0,0,0,0,0,0,0,0,0,5570,0,0,1137340,0,0,194378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,0,0,0,0,0,0,0,0,0,69814,0,0,0,0,0,10132,0,0,4473,1704013
78fd933c-f235-485a-b6dd-77c427ca23eb.jpeg,0,0,0,18032,0,135202,103513,0,0,0,0,0,0,106491,0,0,0,0,0,0,0,0,0,0,3185,0,0,744760,0,42239,525719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,1793,0,0,0,0,23623,0,0,0,0,0,0,0,0,0,1705069
61eec867-e496-45c8-b32f-f6fa8301bfb1.jpeg,0,0,0,798,0,10565,65602,0,0,0,0,0,0,159480,43712,0,0,2996,0,0,0,0,0,0,6006,0,0,906572,0,37669,417651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,1522,5421,0,0,3352,0,0,0,0,15221,0,0,0,0,0,0,0,0,19328,1696413
f3af87c1-a618-44d1-a41c-0fd14abbdd9e.jpeg,0,0,0,1508,0,44747,14860,0,0,0,0,0,0,185000,3714,0,3001,2054,0,0,0,0,0,0,5158,0,0,794735,0,3000,598126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,0,0,0,0,31727,0,0,0,0,0,0,0,0,10739,1698718
37d9de77-698a-48de-98f2-3a7ff7d7e3f1.jpeg,0,0,1204,1069,0,50367,4951,0,0,0,0,0,0,205356,1839,0,0,1685,0,0,0,0,0,0,4961,0,0,868729,0,27442,500613,0,0,0,0,6095,0,0,0,0,0,0,0,0,0,1455,2017,0,0,0,779,0,0,0,0,17484,0,0,0,0,0,2155,0,0,0,1698201
0940443c-8dbc-4c63-ac82-c8432bccf5b3.jpeg,0,0,0,155,452,85383,34143,0,0,0,0,0,0,196448,637,0,0,0,0,0,0,0,0,0,6412,0,0,968655,0,0,365307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7131,0,0,0,0,0,28634,0,0,1333,1694690
be160512-6350-47fa-8417-93292a76c110.jpeg,0,0,0,197,12495,81994,0,0,0,0,0,0,0,179622,0,0,0,700,0,0,0,0,0,0,6540,0,0,868287,0,0,412504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2908,0,0,386,16350,0,0,0,0,1335,0,0,0,0,0,118439,0,0,1139,1702896
eda95ddd-17ba-4a20-8978-93b08be17a0d.jpeg,0,0,0,2290,37182,9662,9180,0,0,0,0,0,0,221476,2710,0,0,3144,0,0,0,0,0,0,5832,0,0,996825,0,22097,367025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2680,0,645,0,0,1443,0,0,0,0,10399,0,0,0,0,0,0,0,1639,0,1694229
b6937cdb-e4e2-41ef-ab92-f41505231c0b.jpeg,0,0,0,802,40760,26971,7453,0,0,0,0,0,0,205755,2086,0,0,248,0,0,0,0,0,0,7882,0,0,974302,0,0,412218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2082,0,0,0,0,0,0,0,16577,0,0,0,0,0,0,0,0,1952,1699088
8e35f917-fed7-44a6-b19e-8177b3f9ab89.jpeg,0,0,0,2419,1347,98771,80816,0,0,0,0,0,0,212203,0,0,4603,0,0,0,0,0,0,0,5247,422,0,1089277,0,7392,153857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4907,0,0,399,0,0,0,0,6191,0,0,0,0,0,16319,0,0,645,1684815
