,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle,Total
a1855286-4fdd-4dab-9ba9-a9c52bea010d.jpeg,0,0,0,266935,0,1128877,2238036,0,0,0,0,0,0,2144460,0,0,4866140,467373,0,0,0,0,0,0,156952,0,0,500469,0,0,11591,0,0,0,0,0,0,0,0,0,0,0,0,0,432,39236,12806,0,0,0,19091,0,0,0,0,340370,0,0,0,0,0,0,0,0,0,12192768
3ff58686-6281-48a6-9c42-6924e3ae2f02.jpeg,0,0,5270,545530,616855,1722446,0,0,0,0,0,0,0,2396895,0,0,5402,351855,0,0,0,0,0,0,251181,0,0,5681371,0,0,0,0,0,0,0,240100,167803,0,0,0,0,56,0,0,8604,67386,0,0,0,329,3643,0,0,0,2553,35484,0,0,0,0,0,90005,0,0,0,12192768
bd3823dd-5e7a-4123-b127-1aea2c765672.jpeg,0,0,1574,352271,488728,224978,0,0,0,0,0,0,0,2442235,0,0,35041,2762863,0,0,0,0,0,0,764099,0,0,4290315,0,0,13168,0,0,0,0,53607,0,0,0,0,0,0,0,0,8623,31617,12707,0,655,0,21961,0,0,0,0,472537,0,0,0,0,0,215789,0,0,0,12192768
279cbff2-cc1f-4444-a64d-6505a3b894f2.jpeg,0,0,0,7208734,0,0,0,0,0,0,0,0,0,0,0,0,0,3670381,0,0,0,0,0,0,0,0,0,1313653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12192768
12017a52-d406-496c-94d6-fe92bc1c73d0.jpeg,0,0,0,6690208,0,163910,11605,0,0,0,0,0,0,0,0,0,0,5327045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12192768
1af8aa19-094b-44ae-a688-e3f722e0a3d3.jpeg,0,0,223324,7406,1111618,269018,281748,0,0,0,0,0,0,1781809,0,0,0,2653046,0,0,0,0,0,0,611770,0,0,4000734,0,0,0,0,305,0,0,1916,0,0,0,2695,0,0,0,0,13708,53900,53442,0,0,22016,145322,0,0,0,3323,396724,0,0,0,0,0,558944,0,0,0,12192768
43aa974d-0eb2-4150-9de5-273143c59723.jpeg,0,0,7160,41778,0,1166873,4,0,0,0,0,0,993703,1759126,0,0,37176,4888401,0,0,0,0,0,0,226235,0,0,1851772,0,0,733680,0,0,0,0,84008,0,0,0,7316,0,0,0,0,0,79498,39274,17756,0,0,99381,0,0,0,14267,119994,0,0,0,0,0,25261,0,0,105,12192768
02f18026-c1e3-46aa-86eb-b811b3853bc4.jpeg,0,0,123148,1337598,0,788688,89405,0,0,0,0,0,0,2878901,0,0,0,2880350,0,0,0,0,0,0,338755,0,0,3488323,0,0,0,0,0,0,0,50136,0,0,0,0,0,0,0,0,8391,53962,36178,0,0,10802,21061,0,0,0,0,1270,0,0,0,0,0,84383,0,0,1417,12192768
a5af2097-b41e-4526-b7ae-a607c873e9fe.jpeg,0,0,0,0,0,0,5396885,0,0,0,0,0,0,0,0,0,0,6367768,0,0,0,0,0,0,0,0,0,55167,0,0,0,0,0,0,0,372948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12192768
bc9daa29-68cb-4704-a4c0-fe8bf54a82ec.jpeg,0,0,105156,0,362,1005431,0,0,0,0,0,0,0,2870572,0,11497,0,4521688,0,193,0,0,0,0,232551,0,0,2925529,0,0,270401,0,0,0,0,86065,1128,0,0,0,0,0,0,0,2321,36630,18213,0,0,0,15277,0,0,0,882,32662,0,0,0,0,0,52644,0,0,3566,12192768
